Age,Gender,Married,Education,Employment,City,Dependents,Income,LoanAmount,CreditScore,TermMonths,Approved
25,Female,Yes,Graduate,Self-Employed,Bengaluru,0,49000.0,50000.0,672,84,N
55,Male,Yes,Postgraduate,Salaried,Mumbai,4,,50000.0,705,24,Y
50,Male,Yes,,Self-Employed,Mumbai,2,66300.0,50000.0,730,84,Y
40,Male,Yes,Graduate,Business,Pune,1,65000.0,50000.0,673,36,Y
40,Female,No,Postgraduate,Self-Employed,Bengaluru,2,68400.0,50000.0,756,60,Y
59,Male,No,Graduate,Self-Employed,Mumbai,1,74700.0,50000.0,,60,Y
24,Male,Yes,Graduate,Self-Employed,Pune,4,39000.0,50000.0,735,12,Y
52,Female,Yes,Graduate,,Delhi,4,48900.0,50000.0,646,12,Y
30,Male,,,Salaried,Delhi,0,22100.0,50000.0,553,84,N
25,Male,Yes,Graduate,Salaried,Bengaluru,3,62400.0,50000.0,699,84,Y
44,Male,No,High School,Salaried,Lucknow,1,,50000.0,731,12,Y
64,Male,No,High School,Salaried,Delhi,0,47800.0,50000.0,720,60,N
54,Male,No,,Salaried,Delhi,4,,50000.0,710,84,N
55,Male,No,Graduate,Self-Employed,Delhi,0,69300.0,60000.0,656,84,Y
53,Male,No,Postgraduate,Salaried,Pune,1,107500.0,72000.0,624,24,Y
56,Male,No,High School,,Delhi,0,54300.0,50000.0,719,84,Y
44,Male,Yes,High School,Salaried,Mumbai,2,61400.0,50000.0,710,60,Y
26,Female,Yes,Postgraduate,Salaried,Lucknow,2,68700.0,50000.0,641,84,Y
58,Male,Yes,High School,Salaried,Delhi,1,64000.0,60000.0,758,12,Y
41,Female,Yes,High School,Salaried,Bengaluru,0,27000.0,50000.0,618,60,N
43,Female,Yes,High School,Salaried,Mumbai,0,56100.0,50000.0,639,12,N
37,Male,No,Graduate,Salaried,Pune,4,50400.0,50000.0,795,24,Y
29,Male,Yes,Postgraduate,Salaried,Mumbai,4,77600.0,50000.0,741,12,Y
62,Male,Yes,Graduate,Salaried,Mumbai,4,67100.0,50000.0,655,36,Y
56,Female,Yes,Graduate,Salaried,Delhi,2,73600.0,50000.0,700,84,Y
49,Female,Yes,High School,,Bengaluru,2,54400.0,50000.0,691,60,Y
39,Female,Yes,Graduate,Salaried,Pune,3,54400.0,50000.0,488,24,N
58,Male,No,Graduate,Salaried,Delhi,3,78200.0,56000.0,617,36,N
45,Female,Yes,High School,Salaried,Mumbai,2,43400.0,50000.0,676,24,Y
40,Male,No,High School,Salaried,Pune,1,34300.0,50000.0,655,60,N
41,Female,Yes,Graduate,Salaried,Delhi,2,77300.0,50000.0,697,24,Y
31,Male,Yes,High School,Self-Employed,Delhi,0,46600.0,50000.0,,12,Y
25,Female,Yes,Graduate,Business,Bengaluru,0,34500.0,50000.0,657,36,N
45,Female,No,Graduate,Business,Mumbai,3,68400.0,50000.0,606,84,N
60,Male,No,High School,Salaried,Delhi,4,51200.0,50000.0,703,36,Y
23,Female,Yes,Graduate,Salaried,Mumbai,0,27600.0,50000.0,657,24,Y
59,Male,No,Graduate,Salaried,Delhi,0,86600.0,50000.0,669,12,Y
58,Female,Yes,Graduate,,Mumbai,0,,50000.0,660,84,Y
33,Male,No,Postgraduate,Self-Employed,Bengaluru,3,81900.0,50000.0,837,60,Y
49,Female,Yes,Graduate,Self-Employed,Bengaluru,1,62200.0,50000.0,523,12,N
28,Male,Yes,Postgraduate,Business,Delhi,1,63800.0,50000.0,653,12,Y
55,Female,No,High School,Salaried,Pune,0,60500.0,50000.0,680,12,N
52,Female,Yes,Graduate,Self-Employed,Delhi,4,74900.0,64000.0,625,24,N
36,Male,Yes,High School,Self-Employed,Pune,2,28600.0,50000.0,743,84,Y
24,Female,Yes,Graduate,Salaried,Mumbai,3,51300.0,50000.0,737,12,Y
64,Female,Yes,Graduate,Business,,3,80100.0,50000.0,677,84,N
41,Female,No,High School,Salaried,Delhi,0,27900.0,50000.0,661,12,N
61,Male,No,Graduate,Business,Delhi,4,,50000.0,672,60,N
51,Male,No,Graduate,Self-Employed,Mumbai,2,83600.0,78000.0,673,24,Y
56,Male,Yes,High School,,Delhi,3,76600.0,67000.0,675,84,N
55,Female,Yes,High School,Self-Employed,Delhi,1,64200.0,50000.0,667,36,N
,Male,Yes,Graduate,Salaried,Bengaluru,4,32900.0,50000.0,698,24,Y
37,Male,Yes,Graduate,Self-Employed,Pune,4,60300.0,50000.0,733,24,Y
42,Male,Yes,Graduate,Self-Employed,Delhi,2,69100.0,50000.0,594,84,N
43,Male,No,High School,Self-Employed,Pune,0,53500.0,50000.0,,36,N
22,Male,No,Graduate,Business,Pune,4,50300.0,50000.0,558,24,N
45,Female,No,,Salaried,Pune,4,86000.0,70000.0,741,60,Y
27,Female,Yes,Graduate,Salaried,Bengaluru,2,,50000.0,698,36,Y
54,Male,Yes,Graduate,,Bengaluru,2,62400.0,60000.0,,60,Y
,Male,Yes,Postgraduate,Salaried,Mumbai,1,64200.0,50000.0,580,36,N
,Female,Yes,Postgraduate,Salaried,Bengaluru,0,,83000.0,805,12,Y
54,Male,Yes,Graduate,Salaried,Lucknow,4,71900.0,62000.0,637,12,N
37,Male,Yes,Postgraduate,Salaried,Delhi,2,81100.0,50000.0,692,12,Y
64,Male,Yes,Postgraduate,Salaried,Mumbai,1,82600.0,50000.0,740,36,Y
39,Female,No,Graduate,Business,,3,,50000.0,611,36,N
35,Male,Yes,Graduate,Salaried,Lucknow,0,77300.0,66000.0,,60,Y
61,Female,No,High School,Business,Mumbai,0,61900.0,50000.0,693,84,N
37,Female,Yes,High School,Salaried,Bengaluru,1,,50000.0,880,12,Y
24,Male,Yes,Graduate,Salaried,Pune,2,46400.0,50000.0,701,84,Y
42,Female,Yes,Graduate,Salaried,Lucknow,1,,50000.0,792,84,Y
56,Female,Yes,Graduate,Salaried,,0,59200.0,50000.0,764,60,Y
29,Male,Yes,Graduate,Salaried,Pune,1,49600.0,50000.0,706,36,N
41,Male,Yes,Graduate,Salaried,Pune,1,48400.0,50000.0,611,12,N
26,Male,No,Postgraduate,Salaried,Delhi,2,,50000.0,754,12,Y
51,Male,Yes,High School,Salaried,Pune,2,,50000.0,575,12,N
42,Male,Yes,High School,Salaried,Mumbai,4,,50000.0,792,60,Y
35,Female,Yes,Graduate,Salaried,,4,74200.0,71000.0,694,36,Y
,Male,Yes,Postgraduate,Self-Employed,Mumbai,1,74400.0,50000.0,494,12,N
46,Male,Yes,Postgraduate,Salaried,Delhi,4,78000.0,50000.0,656,12,Y
51,Female,Yes,Postgraduate,Business,Delhi,2,116900.0,50000.0,726,12,Y
63,Male,No,Postgraduate,Self-Employed,,0,92700.0,50000.0,663,60,Y
,Female,No,Graduate,Business,Delhi,1,50200.0,50000.0,730,60,Y
28,Female,No,Graduate,Self-Employed,Bengaluru,3,25000.0,50000.0,620,60,N
58,Male,Yes,High School,Salaried,Mumbai,4,75100.0,50000.0,589,12,N
49,Male,Yes,Graduate,,,1,76800.0,50000.0,675,12,Y
52,Female,No,Postgraduate,Salaried,Bengaluru,0,116900.0,78000.0,682,12,Y
25,Female,Yes,Graduate,Self-Employed,Bengaluru,0,26900.0,50000.0,656,60,N
35,Female,Yes,Graduate,Salaried,Mumbai,0,,52000.0,766,60,Y
55,Male,Yes,High School,Salaried,Lucknow,3,56400.0,50000.0,620,24,N
58,Female,No,High School,Business,Mumbai,2,68000.0,51000.0,702,12,N
40,Female,Yes,High School,Salaried,Pune,2,22300.0,50000.0,685,24,N
57,Male,No,High School,Salaried,Delhi,3,,50000.0,571,84,N
58,Male,No,Postgraduate,Self-Employed,,4,102700.0,50000.0,588,12,Y
38,Female,Yes,Graduate,Salaried,Lucknow,3,54800.0,50000.0,681,60,Y
61,Male,No,Postgraduate,Salaried,Pune,0,,66000.0,819,36,Y
33,Male,Yes,Graduate,Self-Employed,Bengaluru,2,41600.0,50000.0,,12,N
31,Female,Yes,,Salaried,Bengaluru,4,27000.0,50000.0,559,84,N
51,Male,Yes,High School,Salaried,Mumbai,3,46400.0,50000.0,462,36,N
49,Male,No,Postgraduate,Salaried,Bengaluru,1,63000.0,50000.0,731,60,Y
27,Male,Yes,High School,Self-Employed,Pune,1,40700.0,50000.0,673,12,N
58,Male,Yes,Postgraduate,,Lucknow,4,107600.0,50000.0,760,24,Y
29,Female,Yes,High School,Business,Mumbai,0,23800.0,50000.0,618,60,N
57,Female,Yes,Graduate,Business,Delhi,2,76600.0,50000.0,705,60,Y
21,Male,Yes,Postgraduate,Salaried,Bengaluru,0,56800.0,50000.0,739,12,Y
56,Female,Yes,High School,Salaried,Delhi,4,60400.0,55000.0,649,60,N
56,Female,Yes,High School,Salaried,Delhi,0,49000.0,50000.0,650,84,Y
56,Male,,Postgraduate,Self-Employed,Mumbai,0,80900.0,69000.0,682,60,Y
50,Female,Yes,High School,Salaried,Bengaluru,1,63700.0,50000.0,718,24,Y
42,Male,No,Graduate,Salaried,Delhi,1,58100.0,50000.0,679,84,Y
52,Female,Yes,Graduate,Salaried,Delhi,2,,59000.0,748,60,Y
33,Female,No,High School,,Delhi,1,36400.0,50000.0,648,12,Y
56,Female,Yes,Graduate,Salaried,Pune,1,,50000.0,587,12,N
46,Male,Yes,Graduate,Business,Bengaluru,2,77200.0,50000.0,818,84,Y
41,Female,No,Graduate,Salaried,Delhi,2,65600.0,50000.0,638,24,N
43,Male,Yes,Postgraduate,Business,Delhi,4,88500.0,50000.0,640,12,N
46,Male,Yes,High School,,Bengaluru,2,61800.0,50000.0,675,36,N
22,Male,No,High School,Salaried,Delhi,2,18100.0,50000.0,685,36,N
27,Female,No,Graduate,Business,Bengaluru,3,43900.0,50000.0,653,36,N
32,Male,Yes,Postgraduate,Business,Mumbai,0,,50000.0,679,60,Y
26,Female,Yes,High School,Salaried,Lucknow,3,14000.0,50000.0,677,84,N
40,Female,No,High School,,Delhi,4,38900.0,50000.0,692,60,N
51,Male,No,Graduate,Salaried,Bengaluru,1,,50000.0,515,12,N
50,Male,No,Postgraduate,Salaried,Delhi,0,88900.0,75000.0,812,12,Y
42,Male,Yes,High School,Salaried,Lucknow,1,,50000.0,670,12,N
59,Female,No,Graduate,Business,Lucknow,1,55500.0,50000.0,721,24,Y
46,Female,Yes,Graduate,Salaried,Bengaluru,2,82500.0,50000.0,584,24,N
24,Male,No,Graduate,Self-Employed,Mumbai,4,41600.0,50000.0,647,84,N
55,Female,Yes,High School,,Delhi,2,47800.0,50000.0,633,24,N
46,Male,No,High School,Salaried,Pune,0,44200.0,50000.0,783,12,Y
49,Female,Yes,Graduate,Self-Employed,Bengaluru,1,47500.0,50000.0,639,84,N
46,Female,Yes,Graduate,Salaried,Delhi,3,79600.0,52000.0,733,24,Y
45,Female,No,Postgraduate,Self-Employed,Mumbai,1,76900.0,50000.0,634,84,N
25,Female,Yes,Graduate,Salaried,Mumbai,2,60000.0,50000.0,648,60,N
46,Female,No,Graduate,Business,Pune,3,63100.0,58000.0,663,84,Y
56,Male,Yes,Postgraduate,Self-Employed,Bengaluru,1,108700.0,86000.0,,84,Y
34,Male,Yes,Graduate,Business,,3,54800.0,50000.0,548,12,N
48,Male,Yes,Graduate,Salaried,Bengaluru,1,74500.0,50000.0,588,60,N
22,Male,Yes,Postgraduate,Salaried,Delhi,0,69500.0,58000.0,544,36,N
36,Female,Yes,High School,,Mumbai,1,46000.0,50000.0,604,60,Y
40,Female,Yes,Graduate,,Delhi,2,61300.0,50000.0,623,60,N
65,Female,Yes,,Salaried,Pune,0,76800.0,55000.0,567,36,N
30,Male,No,High School,Salaried,Mumbai,4,56100.0,50000.0,629,24,N
33,Female,,Graduate,Salaried,Mumbai,2,39900.0,50000.0,539,84,N
39,Male,No,High School,Salaried,Delhi,0,41300.0,50000.0,609,60,N
65,Male,Yes,High School,Salaried,Delhi,4,64800.0,60000.0,764,84,Y
59,Female,Yes,Graduate,Salaried,Bengaluru,4,79000.0,50000.0,708,24,N
22,Female,Yes,High School,Salaried,Delhi,0,20700.0,50000.0,693,84,N
31,Female,No,,Self-Employed,Delhi,0,52800.0,50000.0,610,24,N
57,Male,No,,Salaried,Pune,1,90400.0,50000.0,572,36,N
23,Female,Yes,Postgraduate,Salaried,Mumbai,2,42800.0,50000.0,600,84,N
59,Male,No,High School,Salaried,Mumbai,3,59300.0,50000.0,677,24,N
33,Female,Yes,High School,Self-Employed,Mumbai,2,22600.0,50000.0,741,24,N
62,Female,Yes,High School,Salaried,Pune,3,41100.0,50000.0,743,84,Y
34,Male,Yes,High School,Salaried,Mumbai,0,38300.0,50000.0,724,84,N
40,Male,,,Business,Pune,3,83000.0,50000.0,,24,Y
50,Male,No,Graduate,Salaried,Lucknow,4,72400.0,50000.0,682,24,Y
26,Female,No,High School,Business,Bengaluru,2,36300.0,50000.0,658,24,N
46,Male,Yes,Postgraduate,Self-Employed,Mumbai,2,59300.0,50000.0,666,12,Y
43,Female,Yes,Graduate,Salaried,Bengaluru,1,43500.0,50000.0,823,36,Y
,Female,No,,,Mumbai,4,80200.0,50000.0,,24,N
65,Male,No,High School,Self-Employed,Mumbai,0,52000.0,50000.0,664,84,N
50,Male,Yes,Graduate,Business,Mumbai,1,73400.0,50000.0,765,12,Y
39,Female,Yes,Graduate,Salaried,Mumbai,0,48000.0,50000.0,577,60,N
39,Male,Yes,High School,,Delhi,4,42200.0,50000.0,635,36,N
39,Male,Yes,Postgraduate,Salaried,Mumbai,2,68600.0,52000.0,643,60,N
57,Female,No,Postgraduate,Salaried,Delhi,4,99100.0,50000.0,,12,Y
